MARKER-FAMILY EXEMPLAR CENSUS  (type 0x6534284A)
generated by tools/research/udriveit/run_census.py
game    : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe
plugins : C:\Users\<user>\OneDrive\Documents\SimCity 4\Plugins
files scanned (DBPF): 532
exemplars found     : 11118
exemplars parsed OK : 11118
parse failures      : 0

PROPERTY IDS DECODED BY NAME:
  0x00000010  ExemplarType
  0x00000020  ExemplarName
  0x0ABFC024  (seen 0x1C / 0x1E)
  0x27812810  OccupantSize
  0x27812820  ResourceKeyType0
  0x27812821  ResourceKeyType1
  0x27812822  ResourceKeyType2
  0x27812823  ResourceKeyType3
  0x27812824  ResourceKeyType4
  0x27812825  ResourceKeyType5
  0x4A149631  MarkerSizePair? floats, all <=24.9 (SetSize cap is 25.5)
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x1D5E0000}
      0x27812870                              uint32   {0xA0000046}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xCA8BD67F}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x1}

--- {T=0x6534284A, G=0xC977C536, I=0x1D5F0000}  CBill12x4x8_$billboard_1D5F
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 10
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'CBill12x4x8_$billboard_1D5F'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {12, 8, 4}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x1D5F0000}
      0x27812870                              uint32   {0xA0000046}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xCA8BD67F}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x1}

--- {T=0x6534284A, G=0xC977C536, I=0x1D600000}  ACSign11x1x4_$$$Sign_1D60
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 11
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'ACSign11x1x4_$$$Sign_1D60'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {11, 4, 1}
      0x27812820 ResourceKeyType0             uint32   {0x29A5D1EC, 0x2A2458F9, 0x1D600000}
      0x27812870                              uint32   {0xA0000042}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xEA8BD34E}
      0xA977A86B OccupantClassGUID (default 0x2977AA47 = the 0x68-byte marker) uint32   {0x2977AA47}
      0xE9A316EB                              uint8    {0x3}
      0xEA123CEF                              uint32   {0xAA123BF9}

--- {T=0x6534284A, G=0xC977C536, I=0x1D610000}  CSign11x1x4_$$sign_1D61
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 10
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'CSign11x1x4_$$sign_1D61'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {11, 4, 1}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x1D610000}
      0x27812870                              uint32   {0xA0000042}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xEA8BD34E}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x2}

--- {T=0x6534284A, G=0xC977C536, I=0x1D620000}  CSign11x1x4_$sign_1D62
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 10
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'CSign11x1x4_$sign_1D62'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {11, 4, 1}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x1D620000}
      0x27812870                              uint32   {0xA0000042}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xEA8BD34E}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x1}

--- {T=0x6534284A, G=0xC977C536, I=0x1D630000}  CSign1x2x6_$$$sign_1D63
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 10
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'CSign1x2x6_$$$sign_1D63'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {1, 6, 2}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x1D630000}
      0x27812870                              uint32   {0xA0000044}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xEA8BD34E}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x3}

--- {T=0x6534284A, G=0xC977C536, I=0x1D640000}  CSign1x2x6_$$sign_1D64
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 10
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'CSign1x2x6_$$sign_1D64'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {1, 6, 2}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x1D640000}
      0x27812870                              uint32   {0xA0000044}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xEA8BD34E}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x2}

--- {T=0x6534284A, G=0xC977C536, I=0x1D650000}  CSign1x2x6_$sign_1D65
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 10
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'CSign1x2x6_$sign_1D65'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {1, 6, 2}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x1D650000}
      0x27812870                              uint32   {0xA0000044}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xEA8BD34E}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x1}

--- {T=0x6534284A, G=0xC977C536, I=0x1D660000}  CSign2x4x11_$$$sign_1D66
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 10
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'CSign2x4x11_$$$sign_1D66'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {2, 11, 4}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x1D660000}
      0x27812870                              uint32   {0xA0000041}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xEA8BD34E}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x3}

--- {T=0x6534284A, G=0xC977C536, I=0x1D670000}  CSign2x4x11_$$sign_1D67
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 10
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'CSign2x4x11_$$sign_1D67'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {2, 11, 4}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x1D670000}
      0x27812870                              uint32   {0xA0000041}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xEA8BD34E}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x2}

--- {T=0x6534284A, G=0xC977C536, I=0x1D680000}  CSign2x4x11_$sign_1D68
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 10
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'CSign2x4x11_$sign_1D68'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {2, 11, 4}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x1D680000}
      0x27812870                              uint32   {0xA0000041}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xEA8BD34E}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x1}

--- {T=0x6534284A, G=0xC977C536, I=0x1D690000}  CSign1x4x5_$$$sign_1D69
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 10
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'CSign1x4x5_$$$sign_1D69'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {1, 5, 4}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x1D690000}
      0x27812870                              uint32   {0xA0000043}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xEA8BD34E}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x3}

--- {T=0x6534284A, G=0xC977C536, I=0x1D6A0000}  CSign1x4x5_$$sign_1D6A
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 10
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'CSign1x4x5_$$sign_1D6A'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {1, 5, 4}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x1D6A0000}
      0x27812870                              uint32   {0xA0000043}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xEA8BD34E}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x2}

--- {T=0x6534284A, G=0xC977C536, I=0x1D6B0000}  CSign1x4x5_$sign_1D6B
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 10
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'CSign1x4x5_$sign_1D6B'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {1, 5, 4}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x1D6B0000}
      0x27812870                              uint32   {0xA0000043}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xEA8BD34E}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x1}

--- {T=0x6534284A, G=0xC977C536, I=0x1D6C0000}  Street2x5x2_$ForeignCheap1_1D6C
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 12
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'Street2x5x2_$ForeignCheap1_1D6C'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {2, 2.2, 5}
      0x27812824 ResourceKeyType4             uint32   {0x0, 0x0, 0x0, 0x0, 0x27812821, 0x5AD0E817, 0xBADB57F1, 0x1D6C0000, 0x1, 0x0, 0x0, 0x0, 0x27812820, 0x5AD0E817, 0xBADB57F1, 0x0}
      0x27812870                              uint32   {0xA0000038}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x4A149631 MarkerSizePair? floats, all <=24.9 (SetSize cap is 25.5) float32  {21, 6}
      0x69F14D33                              bool     {0x1}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xAA8C3CDA}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x1}

--- {T=0x6534284A, G=0xC977C536, I=0x1D6D0000}  Street2x5x2_$ForeignCheap2_1D6D
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 12
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'Street2x5x2_$ForeignCheap2_1D6D'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {2, 2.2, 5}
      0x27812824 ResourceKeyType4             uint32   {0x0, 0x0, 0x0, 0x0, 0x27812821, 0x5AD0E817, 0xBADB57F1, 0x1D6D0000, 0x1, 0x0, 0x0, 0x0, 0x27812820, 0x5AD0E817, 0xBADB57F1, 0x0}
      0x27812870                              uint32   {0xA0000038}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x4A149631 MarkerSizePair? floats, all <=24.9 (SetSize cap is 25.5) float32  {16, 5}
      0x69F14D33                              bool     {0x1}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xAA8C3CDA}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x1}

--- {T=0x6534284A, G=0xC977C536, I=0x1D6E0000}  Street2x5x2_$Pickup2_1D6E
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 12
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'Street2x5x2_$Pickup2_1D6E'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {2, 2.2, 5}
      0x27812824 ResourceKeyType4             uint32   {0x0, 0x0, 0x0, 0x0, 0x27812821, 0x5AD0E817, 0xBADB57F1, 0x1D6E0000, 0x1, 0x0, 0x0, 0x0, 0x27812820, 0x5AD0E817, 0xBADB57F1, 0x0}
      0x27812870                              uint32   {0xA0000038}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x4A149631 MarkerSizePair? floats, all <=24.9 (SetSize cap is 25.5) float32  {16, 5}
      0x69F14D33                              bool     {0x1}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xAA8C3D2D}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x1}

--- {T=0x6534284A, G=0xC977C536, I=0x1D6F0000}  Street2x5x2_$$Sedan1_1D6F
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 12
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'Street2x5x2_$$Sedan1_1D6F'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {2, 1.6, 5}
      0x27812824 ResourceKeyType4             uint32   {0x0, 0x0, 0x0, 0x0, 0x27812821, 0x5AD0E817, 0xBADB57F1, 0x1D6F0000, 0x1, 0x0, 0x0, 0x0, 0x27812820, 0x5AD0E817, 0xBADB57F1, 0x0}
      0x27812870                              uint32   {0xA0000038}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x4A149631 MarkerSizePair? floats, all <=24.9 (SetSize cap is 25.5) float32  {16, 6}
      0x69F14D33                              bool     {0x1}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xAA8C3C7D}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x2}

--- {T=0x6534284A, G=0xC977C536, I=0x1D700000}  Street2x5x2_$$Sedan2_1D70
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 12
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'Street2x5x2_$$Sedan2_1D70'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {2, 1.7, 5}
      0x27812824 ResourceKeyType4             uint32   {0x0, 0x0, 0x0, 0x0, 0x27812821, 0x5AD0E817, 0xBADB57F1, 0x1D700000, 0x1, 0x0, 0x0, 0x0, 0x27812820, 0x5AD0E817, 0xBADB57F1, 0x0}
      0x27812870                              uint32   {0xA0000038}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x4A149631 MarkerSizePair? floats, all <=24.9 (SetSize cap is 25.5) float32  {15, 6}
      0x69F14D33                              bool     {0x1}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xAA8C3C7D}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x2}

--- {T=0x6534284A, G=0xC977C536, I=0x1D710000}  Street2x6x2_$$$LuxerySedan2_1D71
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 12
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'Street2x6x2_$$$LuxerySedan2_1D71'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {2, 2, 6}
      0x27812824 ResourceKeyType4             uint32   {0x0, 0x0, 0x0, 0x0, 0x27812821, 0x5AD0E817, 0xBADB57F1, 0x1D710000, 0x1, 0x0, 0x0, 0x0, 0x27812820, 0x5AD0E817, 0xBADB57F1, 0x0}
      0x27812870                              uint32   {0xA0000038}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x4A149631 MarkerSizePair? floats, all <=24.9 (SetSize cap is 25.5) float32  {19, 6}
      0x69F14D33                              bool     {0x1}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xAA8C3D77}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x3}

--- {T=0x6534284A, G=0xC977C536, I=0x1D720000}  Street2x6x2_$$$LuxerySedan_1D72
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 12
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'Street2x6x2_$$$LuxerySedan_1D72'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {2, 2, 6}
      0x27812824 ResourceKeyType4             uint32   {0x0, 0x0, 0x0, 0x0, 0x27812821, 0x5AD0E817, 0xBADB57F1, 0x1D720000, 0x1, 0x0, 0x0, 0x0, 0x27812820, 0x5AD0E817, 0xBADB57F1, 0x0}
      0x27812870                              uint32   {0xA0000038}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x4A149631 MarkerSizePair? floats, all <=24.9 (SetSize cap is 25.5) float32  {17, 8}
      0x69F14D33                              bool     {0x1}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xAA8C3D77}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x3}

--- {T=0x6534284A, G=0xC977C536, I=0x1D730000}  Street2x6x2_$$$LuxerySUV_1D73
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}  (compressed)
    props     : 12
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'Street2x6x2_$$$LuxerySUV_1D73'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {2, 2.2, 6}
      0x27812824 ResourceKeyType4             uint32   {0x0, 0x0, 0x0, 0x0, 0x27812821, 0x5AD0E817, 0xBADB57F1, 0x1D730000, 0x1, 0x0, 0x0, 0x0, 0x27812820, 0x5AD0E817, 0xBADB57F1, 0x0}
      0x27812870                              uint32   {0xA0000038}
      0x49A1E05A                              uint32   {0x49A1E995}
      0x4A149631 MarkerSizePair? floats, all <=24.9 (SetSize cap is 25.5) float32  {16, 8}
      0x69F14D33                              bool     {0x1}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xAA8C3DAF}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x3}

--- {T=0x6534284A, G=0xC977C536, I=0x1D770000}  CR11x1x4_Sign_1D770000
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 9
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'CR11x1x4_Sign_1D770000'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {11, 4, 1}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x1D770000}
      0x49A1E05A                              uint32   {0x49A1E996}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xEA8BD34E}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x0}

--- {T=0x6534284A, G=0xC977C536, I=0x1D7A0000}  CR1x4x5_Sign_1D7A0000
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 10
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'CR1x4x5_Sign_1D7A0000'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x18}
      0x27812810 OccupantSize                 float32  {1, 5, 4}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x1D7A0000}
      0x27812870                              uint32   {0xA0000043}
      0x49A1E05A                              uint32   {0x49A1E996}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xEA8BD34E}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x0}

--- {T=0x6534284A, G=0xC977C536, I=0x1D7F0000}  CR1x2x6_Sign_1D7F0000
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 10
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'CR1x2x6_Sign_1D7F0000'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x18}
      0x27812810 OccupantSize                 float32  {1, 6, 2}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x1D7F0000}
      0x27812870                              uint32   {0xA0000044}
      0x49A1E05A                              uint32   {0x49A1E996}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xEA8BD34E}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x0}

--- {T=0x6534284A, G=0xC977C536, I=0x1D800000}  CR12x1x8_Billboard_1D800000
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 10
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'CR12x1x8_Billboard_1D800000'
      0x0ABFC024 (seen 0x1C / 0x1E)           uint32   {0x1E}
      0x27812810 OccupantSize                 float32  {12, 8, 1}
      0x27812821 ResourceKeyType1             uint32   {0x5AD0E817, 0xBADB57F1, 0x1D800000}
      0x27812870                              uint32   {0xA0000045}
      0x49A1E05A                              uint32   {0x49A1E996}
      0x8A416A99 ResourceKey {0x2026960B, 0x6A554AFD, inst} uint32   {0x2026960B, 0x6A554AFD, 0xCA8BD67F}
      0x8A5E5DB8                              bool     {0x1}
      0xE9A316EB                              uint8    {0x0}

--- {T=0x6534284A, G=0xC977C536, I=0x1D830000}  CR12x4x8_Billboard_1D830000
    file      : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe\SimCity_1.dat
    parent    : {0x00000000, 0x00000000, 0x00000000}
    props     : 10
      0x00000010 ExemplarType                 uint32   {0x1E}
      0x00000020 ExemplarName                 string   'CR12x4x8_Billboard_1D830000'
